net,length_um
blkProj14999_7.blk3994_49.rs1_data_o\[9\],154.44
_03809_,154.36
_05950_,154.23
blkProj14999_7.blk3995_50.rs2_data_o\[30\],154.18
_03102_,154.05
blkProj14999_7.blk3994_49.rs1_data_o\[5\],153.82
_04023_,153.78
_08776_,153.625
blkProj14999_7.blk3994_49.rs1_data_o\[6\],153.56
_06742_,153.5
_07213_,153.31
_07748_,152.88
_03310_,152.835
blkProj14999_7.blk3994_49.rs1_data_o\[4\],152.54
_06748_,152.44
blkProj14999_7.blk3994_49.rs1_data_o\[10\],152.42
_06865_,152.36
net82,152.04
_05461_,151.98
_09023_,151.92
_06006_,151.7
_04567_,151.525
blkProj14999_7.blk3995_50.rs2_data_o\[9\],151.325
_08121_,151.18
_03755_,151.115
_06711_,150.92
_05313_,150.88
_05945_,150.88
_04448_,150.86
clknet_leaf_171_i_clk,150.78
blkProj14999_7.blk3994_49.rs1_data_o\[11\],150.68
_00790_,150.55
_04106_,149.58
_04538_,149.52
blkProj14999_7.blk3995_50.rs2_data_o\[26\],149.46
_06518_,149.33
_06683_,149.325
_04345_,149.26
blkProj14999_7.blkProj14991_42.blk3979_4.accum\[42\],149.18
_04103_,149
_06746_,148.65
_03005_,148.46
_08309_,148.44
_07893_,148.22
_06978_,148
_05696_,147.81
_08199_,147.66
_05375_,147.6
_03894_,147.54
_05918_,147.215
_04037_,147.02
_07212_,147.02
_06394_,146.9
_05542_,146.885
_05510_,146.34
_08597_,146.28
blkProj14999_7.blkProj14991_42.blk3979_4.accum\[43\],146.12
_05854_,145.78
_04024_,145.76
_08159_,145.21
blkProj14999_7.blkProj14963_55.blk1779_46.A\[3\],145.21
_06709_,145.1
net71,145.025
_06019_,144.96
_06952_,144.96
blkProj14999_7.blk3995_50.rs2_data_o\[16\],144.8
_04569_,144.76
_08765_,144.76
_06744_,144.58
_06018_,144.24
_06685_,144.21
_07191_,144.15
_05922_,144.09
_00000_,143.86
_06700_,143.59
_04416_,143.4
_05907_,143.34
_06705_,143.24
blkProj14999_7.blkProj14963_55.blk1779_46.A\[2\],143.11
_04382_,142.8
blkProj14999_7.blk3995_50.rs2_data_o\[28\],142.26
_04168_,142.18
clknet_leaf_81_i_clk,141.92
_06904_,141.845
blkProj14999_7.blk3995_50.rs2_data_o\[31\],141.84
_03673_,141.73
_08998_,141.6
_04518_,141.42
_04573_,141.38
_07190_,141.255
_04995_,140.92
_08303_,140.8
_08310_,140.795
_06672_,140.62
_05417_,140.32
_05291_,140.31
_04203_,139.85
_06713_,139.55
_05331_,139.37
blkProj14999_7.blkProj14991_42.blk3979_4.accum\[44\],139.2
blkProj14999_7.blk3995_50.rs2_data_o\[29\],138.97
_04183_,138.94
clknet_leaf_23_i_clk,138.52
_07809_,138.18
_05785_,138.1
_06995_,137.76
_03875_,137.62
_04514_,137.51
_01300_,137.47
_04052_,137.36
_03861_,137.14
_06827_,136.66
_07051_,136.38
_05900_,136.17
_00971_,135.96
clknet_3_4_0_i_clk,135.84
_04540_,135.81
_05881_,135.74
clknet_leaf_158_i_clk,135.42
_04508_,135.405
_04798_,135.3
_06957_,134.935
_07390_,134.92
_04510_,134.78
_06689_,134.66
_04377_,134.53
_03937_,134.47
_03851_,134.24
_08138_,134.24
_07888_,133.82
_03990_,133.76
_04192_,133.7
_00331_,133.51
_05535_,133.5
clknet_3_0_0_i_clk,133.12
_03700_,132.995
_05858_,132.86
_05325_,132.8
_04346_,132.72
blkProj14999_7.blk3994_49.rs1_data_o\[7\],132.62
_03951_,132.46
_06963_,132.44
_08659_,132.38
blkProj14999_7.blk3994_49.rs1_data_o\[3\],132.37
blkProj14999_7.blkProj14991_42.blk3979_4.accum\[38\],132.28
clknet_3_2_0_i_clk,132.05
_03274_,132.02
_04936_,131.96
_06990_,131.68
_03967_,131.59
_03153_,131.54
blkProj14999_7.blk3994_49.rs1_data_o\[12\],131.52
_03866_,131.42
_03138_,131.34
_03019_,131.14
_05985_,131
clknet_leaf_95_i_clk,130.88
clknet_3_6_0_i_clk,130.77
_03371_,130.76
_04459_,130.74
